,교육청명,예산,시도명,학교코드
0,서울특별시교육청,"8,147,725",서울,B100000001
1,부산광역시교육청,"3,635,672",부산,C100000001
2,대구광역시교육청,"2,943,500",대구,D100000001
3,인천광역시교육청,"3,132,755",인천,E100000001
4,광주광역시교육청,"1,796,151",광주,F100000001
5,대전광역시교육청,"1,813,785",대전,G100000001
6,울산광역시교육청,"1,542,265",울산,H100000001
7,세종특별자치시교육청,"551,145",세종,I100000001
8,경기도교육청,"12,052,414",경기,J100000001
9,강원도교육청,"2,560,973",강원,K100000001
10,충청북도교육청,"2,260,042",충북,M100000001
11,충청남도교육청,"3,029,476",충남,N100000001
12,전라북도교육청,"2,861,847",전북,P100000001
13,전라남도교육청,"3,349,600",전남,Q100000001
14,경상북도교육청,"4,001,281",경북,R100000001
15,경상남도교육청,"4,474,356",경남,S100000001
16,제주특별자치도교육청,"913,227",제주,T100000001
